,tweet,prepro,label
10,"Yg merasa ""Kok gw belum kedaftar penerima vaksin Covid-19 sih?"" Wait, gelombang pertama 1 untuk nakes &amp; penunjang, petugasÂ tracing, 195k petugas pelayan publik esensial sebagai garda terdepan; TNI Polri, Satpol PP, petugas pelayan publik transportasin tokoh masyarakat &amp; agama.","['gw', 'daftar', 'terima', 'vaksin', 'covid', 'wait', 'gelombang', 'nakes', 'tunjang', 'tugas', 'tracing', 'k', 'tugas', 'layan', 'publik', 'esensial', 'garda', 'depan', 'tni', 'polri', 'satpol', 'pp', 'tugas', 'layan', 'publik', 'transportasin', 'tokoh', 'masyarakat', 'agama']",positif
147,"baru ngerasain covid-19 aja udah gelagepan... gimana nanti kena covid-21 yang dijuluki super covid yak? 

Selamat Tahun Baru 2021!","['ngerasain', 'covid', 'udah', 'gelagepan', 'gimana', 'kena', 'covid', 'juluk', 'super', 'covid', 'yak', 'selamat']",negatif
380,@iaridlo Sama pola nya dok.. sebelum covid juga berlomba untuk membuat unit dialisis ataupun pusat kateterisasi jantung atau stroke unit. Hulunya kurang bergerak...Germas cuma sekedar slogan.. konsentrasi di hilir ga akan ada habisnya..,"['iaridlo', 'pola', 'dok', 'covid', 'lomba', 'unit', 'dialisis', 'pusat', 'kateter', 'jantung', 'stroke', 'unit', 'hulu', 'gerak', 'germas', 'dar', 'slogan', 'konsentrasi', 'hilir', 'habis']",negatif
282,"Maaf, selamat siang, untuk pengaduan pelayanan RS terkait pasien COVID-19 bisa diadukan kemana ya? Pasien dirawat disalah satu RS di Kota Semarang. Terima kasih atas kepedulian responnya bapak2 @hendrarprihadi @ganjarpranowo @dkksemarang @ppid_dinkesSMG @infosemarang","['maaf', 'selamat', 'siang', 'adu', 'layan', 'rs', 'kait', 'pasien', 'covid', 'adu', 'mana', 'pasien', 'rawat', 'salah', 'rs', 'kota', 'semarang', 'terima', 'kasih', 'peduli', 'responnya', 'hendrarprihadi', 'ganjarpranowo', 'dkksemarang', 'ppid dinkessmg', 'infosemarang']",positif
664,"Tepat di hari terakhir tahun 2020, vaksin Covid-19 kembali tiba di Tanah Air. Sebanyak 1,8 juta vaksin dari perusahaan Sinovac itu tiba di Bandara Internasional Soekarno-Hatta, siang ini dengan pesawat Garuda Indonesia.

#PDIPerjuangan
#BersamaLawanCorona https://t.co/OgXj1jNG0W","['vaksin', 'covid', 'tanah', 'air', 'juta', 'vaksin', 'usaha', 'sinovac', 'bandara', 'internasional', 'soekarno', 'hatta', 'siang', 'pesawat', 'garuda', 'indonesia', 'pdiperjuangan', 'bersamalawancorona']",positif
451,"Ga ngebayangin semalem ada nakes yg pas tahun baru tetep kerja ngerawat pasien covid, sama nguburin pasien covid.","['ngebayangin', 'semalem', 'nakes', 'pas', 'tetep', 'kerja', 'ngerawat', 'pasien', 'covid', 'nguburin', 'pasien', 'covid']",negatif
862,"Saat ini, kita dlm kondisi yg tak menentu, disaat kesehatan kita turun, angka kasus positif Covid-19 meningkat, kitapun harus ttp mempertahankan pertumbuhan ekonomi. Situasi yg tarik menarik, namun harus optimis, brupaya mnemukan porsi yg pas terhadap keduanya agar dpt seimbang.","['dlm', 'kondisi', 'tentu', 'saat', 'sehat', 'turun', 'angka', 'positif', 'covid', 'tingkat', 'kita', 'ttp', 'tahan', 'tumbuh', 'ekonomi', 'situasi', 'tarik', 'tarik', 'optimis', 'brupaya', 'mnemukan', 'porsi', 'pas', 'dpt', 'imbang']",positif
382,"Doa orang2 semalem
""Semoga di 2021 Covid-19 hilang""
.
Logika gw
""Seminggu-Sebulan dari sekarang, kasus positif Covid-19 meningkat.""
.
Mari kita lihat, bisa jadi gw salah
Semoga saja salah :)","['doa', 'orang', 'semalem', 'moga', 'covid', 'hilang', 'logika', 'gw', 'minggu', 'bulan', 'positif', 'covid', 'tingkat', 'mari', 'lihat', 'gw', 'salah', 'moga', 'salah']",positif
767,"@yogesbhattarai Wishing you and your family for a Very Happy, Healthy, Covid-19 Free, and Prosperous New Year - 2021.","['yogesbhattarai', 'wishing', 'you', 'and', 'your', 'family', 'for', 'a', 'very', 'happy', 'healthy', 'covid', 'free', 'and', 'prosperous', 'new', 'year']",positif
427,Satgas Covid-19: Kita Harus Targetkan Kesembuhan 100 Persen https://t.co/iiBMcSesc5 #beritajogja #jogja #jogjaistimewa https://t.co/0PpbtfBxfE,"['satgas', 'covid', 'target', 'sembuh', 'persen', 'beritajogja', 'jogja', 'jogjaistimewa']",positif
695,https://t.co/x69IBALpJ2,[],netral
885,"Vaksin covid belum di uji cobakan ke penyandang autoimun~
sabar ya kawan :))
boosting imun pakai vitamin dulu","['vaksin', 'covid', 'uji', 'coba', 'sandang', 'autoimun', 'sabar', 'kawan', 'boosting', 'imun', 'pakai', 'vitamin']",positif
398,"Positif Covid-19, Kondisi Giring Ganesha Membaik Berkat Doa dan Dukungan Keluarga - https://t.co/I0KtHVU2I5

#INDONESIA","['positif', 'covid', 'kondisi', 'giring', 'ganesha', 'baik', 'berkat', 'doa', 'dukung', 'keluarga', 'indonesia']",netral
135,"Ko diawal covid kmrn Indonesia gak bilang, covid dr cinak??? Apa krn Indonesia udah jd kacung cinak???ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/e1JMXe6pu2","['ko', 'awal', 'covid', 'kmrn', 'indonesia', 'covid', 'dr', 'cak', 'indonesia', 'udah', 'kacung', 'cak']",negatif
701,Bukan soal Tahun yang baru namun hampir satu Tahun ini bangga dengan diri sendiri yang masih bisa tetap bekerja untuk survive di tengah pandemic Covid-19,"['bangga', 'survive', 'pandemic', 'covid']",negatif
602,Ok let's start 2021with this new covid variant ðŸ¤—ðŸ¤— https://t.co/03DedAAhsR,"['ok', 'let', 's', 'start', 'with', 'this', 'new', 'covid', 'variant']",netral
585,@hanseonga_ iya cuy ga tayang minggu ini kata temen gua gara2 pak kepsek nya positif covid,"['hanseonga', 'iya', 'cuy', 'tayang', 'minggu', 'temen', 'gua', 'gara', 'kepsek', 'positif', 'covid']",negatif
529,"@CindyGaul328 @H_MitchellPhoto @janasanchez We have a 10 PM curfew so, First NYE that I don't eat Chinese food. However, I am grateful I don't have COVID!","['cindygaul', 'h mitchellphoto', 'janasanchez', 'we', 'have', 'a', 'pm', 'curfew', 'so', 'first', 'nye', 'that', 'i', 'don', 'eat', 'chinese', 'food', 'however', 'i', 'am', 'grateful', 'i', 'don', 'have', 'covid']",negatif
901,Stop stigma covid 19 https://t.co/JH1nnIGMzY,"['stop', 'stigma', 'covid']",positif
535,"Update COVID-19 Muba: Penambahan 1 Kasus Sembuh, 6 Positif https://t.co/EoVYMmaMoL","['update', 'covid', 'muba', 'tambah', 'sembuh', 'positif']",positif
158,Orang lain elok je berjalan jalan tanpa menghirau kan covid di mana mana,"['orang', 'elok', 'je', 'jalan', 'jalan', 'hirau', 'covid']",negatif
1159,Bismillah semoga bisa menekan laju pertumbuhan virus covid. https://t.co/KeDOKCwqq6,"['bismillah', 'moga', 'tekan', 'laju', 'tumbuh', 'virus', 'covid']",netral
422,"Momen Yusuf Mansur Jenguk Aa Gym yang Positif Covid-19, Terpisah Kaca Keduanya Komunikasi via HT https://t.co/1P4OqAvgGr","['momen', 'yusuf', 'mansur', 'jenguk', 'aa', 'gym', 'positif', 'covid', 'pisah', 'kaca', 'komunikasi', 'via', 'ht']",netral
1246,"covid-19 itu sensitif banget, gak perlulah mengintimidasi&amp; menyudutkan oranglain. yg dibutuhkan saat ini adalah saling menguatkan&amp; tetap jaga kesehatan masing- masing.","['covid', 'sensitif', 'banget', 'perlu', 'intimidasi', 'sudut', 'oranglain', 'butuh', 'kuat', 'jaga', 'sehat']",negatif
405,"Berjaga posko di pintu masuk wisata sendang bus pager bungkal bersama pemdes' relawan new normal dalam rangka agar tidak ada pengujung guna mengurangi penyebaran virus covid 19
@halimiskandarnu 
@taufikmadjid71 
@malik_haramain 
@dpmdjatim 
@kpw4jatim 
@ipank101 
@TrihNovi https://t.co/urSq4Eogsu","['jaga', 'posko', 'pintu', 'masuk', 'wisata', 'sendang', 'bus', 'pager', 'bungkal', 'pemdes', 'rawan', 'new', 'normal', 'rangka', 'ujung', 'kurang', 'sebar', 'virus', 'covid', 'halimiskandarnu', 'taufikmadjid', 'malik haramain', 'dpmdjatim', 'kpw', 'jatim', 'ipank', 'trihnovi']",negatif
1033,"Mendekati Angka 3.000, Kasus Covid-19 Sragen Hari Ini Tambah 7 Warga Positif Terpapar dan 3 Meninggal Dunia Hari Ini. Jumlah Warga Meninggal Sudah 180 Orang https://t.co/CW57DOflUx","['dekat', 'angka', 'covid', 'sragen', 'warga', 'positif', 'papar', 'tinggal', 'dunia', 'warga', 'tinggal', 'orang']",negatif
1034,@xurbiaxendless Ngerasain banget!!!!!! Kealamin bbrp hari yg lalu. Yg ga percaya covid sini gw ksh tau rasanya atau gantian sini laki gw!!!,"['xurbiaxendless', 'ngerasain', 'banget', 'alamin', 'bbrp', 'percaya', 'covid', 'gw', 'ksh', 'ganti', 'laki', 'gw']",negatif
948,@mpujayaprema Positif covid,"['mpujayaprema', 'positif', 'covid']",negatif
924,"@dokterimun_id Dok..kalau penyitas covid 19 sdh lebih dari 3 bulan, apakah bisa divaksin.","['dokterimun id', 'dok', 'penyitas', 'covid', 'vaksin']",negatif
390,"Polres Boyolali - Ka SPK Satu Aipda Rheindra bersama dua anggota BLP Siang sambil pendisiplinan Protokoler Kesehatan dengan sasaran Obvit, Pasar Modern, Pertokoan dan Perbengkelan pada Jumat (01/01/21) pukul 13.00 wib cegah Tiga Cepu dan Covid 19. https://t.co/un5IA7vxsX","['polres', 'boyolali', 'ka', 'spk', 'aipda', 'rheindra', 'anggota', 'blp', 'siang', 'disiplin', 'protokoler', 'sehat', 'sasar', 'obvit', 'pasar', 'modern', 'toko', 'bengkel', 'jumat', 'wib', 'cegah', 'cepu', 'covid']",positif
96,"Kabar duka datang lg dr kampung halaman. Untuk kesekian kali, salah satu tetangga meninggal dunia krn covid. Masih cukup muda usianya.","['kabar', 'duka', 'lg', 'dr', 'kampung', 'halaman', 'sekian', 'kali', 'salah', 'tetangga', 'tinggal', 'dunia', 'covid', 'muda', 'usia']",negatif
1222,"Oh iya mau cerita, kemaren gue dapet call yang minta refund flight karena dia kena covid-19, pas interaksi sama gue suaranya hampir habis, batuk2 terus, aku nih gak tega dengernya. Terus dia bilang, ""Nggak enak banget rasanya, mbak."" sambil nangis. Semoga mbaknya lekas membaik.","['oh', 'iya', 'cerita', 'kemaren', 'gue', 'dapet', 'call', 'refund', 'flight', 'kena', 'covid', 'pas', 'interaksi', 'gue', 'suara', 'habis', 'batuk', 'tega', 'dengernya', 'nggak', 'enak', 'banget', 'mbak', 'nang', 'moga', 'mbak', 'lekas', 'baik']",negatif
1013,"@ngalammenfess omah nder
covid tambah parah astaghfirullah","['ngalammenfess', 'omah', 'nder', 'covid', 'parah', 'astaghfirullah']",negatif
668,"Covid-19 makes the algorithm much complicated. I lost some points because of that. I did qualify for the FPL cup, but I don't care. I just focus on fixing the gap. https://t.co/QGvNwIajEP","['covid', 'makes', 'the', 'algorithm', 'much', 'complicated', 'i', 'lost', 'some', 'points', 'because', 'of', 'that', 'i', 'did', 'qualify', 'for', 'the', 'fpl', 'cup', 'but', 'i', 'don', 'care', 'i', 'just', 'focus', 'on', 'fixing', 'the', 'gap']",netral
893,"Buat ibu-ibu di tempat ngeprint yg tadi ngegosip nyepelein covid, semoga sehat selalu ya, bu ðŸ™‚","['ngeprint', 'ngegosip', 'nyepelein', 'covid', 'moga', 'sehat', 'bu']",positif
156,"Lapas Kelas IIA Pamekasan mengucapkan Selamat Tahun Baru 2021. 

Semoga di tahun baru ini pandemi Covid-19 segera berakhir, wabahnya pergi, dan tak kembali. Aamiin.

#KumhamPasti #LSanSAEE https://t.co/o4RZjPS30Q","['lapas', 'kelas', 'iia', 'pamekasan', 'selamat', 'moga', 'pandemi', 'covid', 'wabah', 'pergi', 'aamiin', 'kumhampasti', 'lsansaee']",positif
996,JAKARTA - Vaksinasi tahap kedua direncanakan April hingga Maret 2021. Sasaran utamanya adalah kelompok masyarakat di daerah dengan risiko penularan COVID-19 tinggi. https://t.co/JypPssPcgC,"['jakarta', 'vaksinasi', 'tahap', 'rencana', 'april', 'maret', 'sasar', 'utama', 'kelompok', 'masyarakat', 'daerah', 'risiko', 'tular', 'covid']",positif
772,Ingat! Warga yang Dapat SMS dari Kemenkes Wajib Divaksin Covid-19 https://t.co/gPMN9DBmtz,"['warga', 'sms', 'kemenkes', 'wajib', 'vaksin', 'covid']",positif
1322,"Thank you semua yg udah bantu retweet, udh dpt pendonor yg cocok dan kakak iparku udh lumayan membaik keadaanya, semoga segera disembuhkan dari covid, sekali lg makasih semua temen2ku ðŸ™ðŸ˜Š","['thank', 'you', 'udah', 'bantu', 'retweet', 'udh', 'dpt', 'donor', 'cocok', 'kakak', 'ipar', 'udh', 'lumayan', 'baik', 'keadaanya', 'moga', 'sembuh', 'covid', 'lg', 'makasih', 'temen', 'ku']",positif
1141,Nyiapin kegiatan senin dengan menyimak dulu paparan proyeksi pandemi covid-19 oleh @drdickybudiman https://t.co/ofuIrcenfd,"['nyiapin', 'giat', 'senin', 'simak', 'papar', 'proyeksi', 'pandemi', 'covid', 'drdickybudiman']",positif
858,Baru kali ini enggak tahun baruan ke luar negeri karena ada covid ðŸ˜­ biasanya karena gak ada duit,"['kali', 'baru', 'negeri', 'covid', 'duit']",netral
438,Wakil Bupati Pamekasan Madura Meninggal Setelah Sembuh dari Terpapar Covid-19 https://t.co/7fB6tDE4bB,"['wakil', 'bupati', 'pamekasan', 'madura', 'tinggal', 'sembuh', 'papar', 'covid']",negatif
1331,"@BANGDZOO Gusti Allah menciptakan virus covid 19 untuk mengurangi populasi penduduk dunia
Dunia dihebohkan dengan adanya virus covid 19 tanpa bisa dilihat dengan mata telanjang musuh tak terlihat nyata adanya Supaya manusia kembali Eling ke Tuhannya.","['bangdzoo', 'gusti', 'allah', 'cipta', 'virus', 'covid', 'kurang', 'populasi', 'duduk', 'dunia', 'dunia', 'heboh', 'virus', 'covid', 'mata', 'telanjang', 'musuh', 'nyata', 'manusia', 'eling', 'tuhan']",positif
514,"Baru kali ini gak bisa tahun baruan diluar negeri karena covid-19, biasanya ya karena gak punya duit.","['kali', 'baru', 'luar', 'negeri', 'covid', 'duit']",positif
331,"Skenario aja terus sampe patung pancoran tukeran tempat ama patung sudirman

Skenario Pemprov DKI Antisipasi Lonjakan Kasus Covid-19 Usai Libur Akhir Tahun

https://t.co/8pGrPrPUsj","['skenario', 'sampe', 'patung', 'pancoran', 'tukeran', 'ama', 'patung', 'sudirman', 'skenario', 'pemprov', 'dki', 'antisipasi', 'lonjak', 'covid', 'libur']",positif
1323,"LAGU    ,
        
       V A K S I N  -  COVID-19

https://t.co/dP2Doe3uYt https://t.co/qRFVjKAmnU","['lagu', 'v', 'a', 'k', 's', 'i', 'covid']",netral
308,Kasus COVID-19 masih tinggi https://t.co/rjUp55HeoT,['covid'],negatif
1243,"@clvrh14 mlebu o Grup ICS utw follownen IG ICS , Soloinfo, agendasolo ngono2 cobo pas ngeshare covid, wonge dadi bar bar wlwkwkwkw","['clvrh', 'mlebu', 'o', 'grup', 'ics', 'utw', 'follownen', 'ig', 'ics', 'soloinfo', 'agendasolo', 'ngono', 'cobo', 'pas', 'ngeshare', 'covid', 'wonge', 'dadi', 'bar', 'bar', 'wlwkwkwkw']",negatif
506,@samsulmr12 positip thinking ngab itu vaksin covid wkwkwk,"['samsulmr', 'positip', 'thinking', 'ngab', 'vaksin', 'covid', 'wkwkwk']",positif
1110,Semua akan merasakan covid pada waktu nya https://t.co/vfqew4kAlt,"['rasa', 'covid']",negatif
941,"As US inches closer to 350,000 Covid-19 deaths, one model projects about 115,000 more could die in next four weeks https://t.co/YKl3J96Ly3","['as', 'us', 'inches', 'closer', 'to', 'covid', 'deaths', 'one', 'model', 'projects', 'about', 'more', 'could', 'die', 'in', 'next', 'four', 'weeks']",negatif
649,Covid 19 punya berapa varian sih?,"['covid', 'varian']",positif
923,Nahhh loh habis dari mana rakyatnya dilarang jalan jalan luar kota atuhi prokes. Kok ibu positif covid sih https://t.co/3kL2dIIgIK,"['nahhh', 'habis', 'rakyat', 'larang', 'jalan', 'jalan', 'kota', 'atuhi', 'prokes', 'positif', 'covid']",netral
124,Update Covid-19 1 Januari 2021: Ini 5 Provinsi dengan Kasus Kematian Tertinggi https://t.co/px98Hx07IU #beritajogja #jogja #jogjaistimewa https://t.co/szDjR1SY5n,"['update', 'covid', 'januari', 'provinsi', 'mati', 'tinggi', 'beritajogja', 'jogja', 'jogjaistimewa']",negatif
178,2021 bersama varian baru covid,"['varian', 'covid']",netral
287,"Siapa saja sih, penerima vaksin COVID-19 gratis di tahun 2021 ini? Begini cara cek data anda, apakah juga termasuk penerima vaksin corona gratis.

https://t.co/8lTchFOn90","['terima', 'vaksin', 'covid', 'gratis', 'cek', 'data', 'terima', 'vaksin', 'corona', 'gratis']",netral
1291,"Bhabinkamtibmas Desa Tambakrejo Polsek Wonotirto Polres Blitar Aipda Johan bersama 3 Pilar melakukan penyemprotan desinfektan rumah warga dalam pencegahan penyebaran Covid-19 di Desa Tambakrejo

#JawaTimurBangkit
#AyoJogoJatim
#JatimBermasker
#DisiplinProKes
#LawanCorona https://t.co/WmEm2F7jNK","['bhabinkamtibmas', 'desa', 'tambakrejo', 'polsek', 'wonotirto', 'polres', 'blitar', 'aipda', 'johan', 'pilar', 'semprot', 'desinfektan', 'rumah', 'warga', 'cegah', 'sebar', 'covid', 'desa', 'tambakrejo', 'jawatimurbangkit', 'ayojogojatim', 'jatimbermasker', 'disiplinprokes', 'lawancorona']",positif
1114,"ANTARA COVID DAN VAKSIN
.
https://t.co/nmaBDzHK6Z
.
Dilema masyarakat merupakan hal yang wajar sebab jika diperhatikan dari setiap kebijakan yang dibuat oleh pemerintah dalam menangani kasus Covid terlihat setengah-setengah, kurang foku https://t.co/F0zdEArgVU","['covid', 'vaksin', 'dilema', 'masyarakat', 'wajar', 'perhati', 'bijak', 'perintah', 'tangan', 'covid', 'foku']",positif
294,Happy New Years i canâ€™t believe Covid is finally gone ðŸ˜«ðŸ™ŒðŸ½â€¼ï¸,"['happy', 'new', 'years', 'i', 'can', 'believe', 'covid', 'is', 'finally', 'gone']",negatif
365,Disiplinkan Warga Untuk Memutus Mata Rantai Covid 19 Unit Kecil Lengkap 1 Polsek Melaya Polres Jembrana Melaksanakan Kegiatan OpsÂ Yustisi. https://t.co/OGKVCccSqw,"['disiplin', 'warga', 'putus', 'mata', 'rantai', 'covid', 'unit', 'lengkap', 'polsek', 'melaya', 'polres', 'jembrana', 'laksana', 'giat', 'ops', 'yustisi']",positif
370,"Giring Eks Nidji Positif Covid-19, sang Istri: Dia Hanya Bisa Lihat Kita Lewat Jendela Atas https://t.co/V2l0lrbUu2","['giring', 'eks', 'nidji', 'positif', 'covid', 'sang', 'istri', 'lihat', 'jendela']",positif
350,"Cek Daftar Nama Penerima Vaksin Covid-19 Lewat Aplikasi Peduli Lindungi, Begini Caranya! https://t.co/gtRHgUn5lc #malangtimes #beritamalang","['cek', 'daftar', 'nama', 'terima', 'vaksin', 'covid', 'aplikasi', 'peduli', 'lindung', 'malangtimes', 'beritamalang']",negatif
485,"Woyy baru awal tahun kok udah denger yg gak enak,,, bapak temen gua positif covid tapi baru ngomong dong mana 3 hari kerja kemarin papasan lagi duhh semoga hasil swab temen gua negatif Aamiin ðŸ¥ºðŸ¤²","['woyy', 'udah', 'denger', 'enak', 'temen', 'gua', 'positif', 'covid', 'ngomong', 'kerja', 'kemarin', 'papas', 'duhh', 'moga', 'hasil', 'swab', 'temen', 'gua', 'negatif', 'aamiin']",negatif
1303,"BPJS Malang: 1,7 Juta Warga Kabupaten Akan Disuntik Vaksin Covid https://t.co/MogpW4hrHN via @radar_malang","['bpjs', 'malang', 'juta', 'warga', 'kabupaten', 'suntik', 'vaksin', 'covid', 'via', 'radar malang']",positif
88,"@ganjarpranowo @malikul100 Selamat Tahun Baru Pak Ganjar, 
Semoga thn 2021 pemerintah lebih tegas lebih keras lagi atasi covid, biar cepet kelar dan segera bangkit membangun negeri. 
Mohon lebih ditegaskan lagi Pak..ðŸ™","['ganjarpranowo', 'malikul', 'selamat', 'ganjar', 'moga', 'thn', 'perintah', 'keras', 'atas', 'covid', 'cepet', 'kelar', 'bangkit', 'bangun', 'negeri', 'mohon']",positif
994,"Mayoritas banyak yg koarÂ² nasib nakes, bahaya covid, dsb. Tapi nongkrongÂ² tanpa protokol jalan terus, klo disindir ngelesnya ""buat ngobatin depression &amp; overthinking ""~ kontol.","['mayoritas', 'koar', 'nasib', 'nakes', 'bahaya', 'covid', 'dsb', 'nongkrong', 'protokol', 'jalan', 'sindir', 'ngelesnya', 'ngobatin', 'depression', 'overthinking', 'kontol']",negatif
433,Baru kali ini ga liburan taun baru ke luar negri grgr covid. Biasanya sih grgr gapunya uang,"['kali', 'libur', 'taun', 'negri', 'grgr', 'covid', 'grgr', 'gapunya', 'uang']",positif
